기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2010,서울특별시 중구 신당제3동(1114063000),여    ,10158,1283,7382,4248,1493,914,454,125
2010,서울특별시 중구 신당제4동(1114064000),계    ,16211,2255,11995,7034,1961,1251,556,154
2010,서울특별시 중구 신당제4동(1114064000),남    ,7818,1187,5842,3432,789,548,194,47
2010,서울특별시 중구 신당제4동(1114064000),여    ,8393,1068,6153,3602,1172,703,362,107
2010,서울특별시 중구 신당제5동(1114065000),계    ,8221,935,6219,3561,1067,711,280,76
2010,서울특별시 중구 신당제5동(1114065000),남    ,4177,470,3285,1936,422,306,97,19
2010,서울특별시 중구 신당제5동(1114065000),여    ,4044,465,2934,1625,645,405,183,57
2010,서울특별시 중구 신당제6동(1114066000),계    ,9686,1384,7201,4064,1101,698,317,86
2010,서울특별시 중구 신당제6동(1114066000),남    ,4779,728,3596,2035,455,302,123,30
2010,서울특별시 중구 신당제6동(1114066000),여    ,4907,656,3605,2029,646,396,194,56
2010,서울특별시 중구 황학동(1114067000),계    ,12705,1426,9824,5730,1455,978,384,93
2010,서울특별시 중구 황학동(1114067000),남    ,6501,739,5152,3085,610,452,129,29
2010,서울특별시 중구 황학동(1114067000),여    ,6204,687,4672,2645,845,526,255,64
2010,서울특별시 중구 중림동(1114068000),계    ,12741,1552,9405,5340,1784,1156,486,142
2010,서울특별시 중구 중림동(1114068000),남    ,6444,761,4907,2862,776,551,171,54
2010,서울특별시 중구 중림동(1114068000),여    ,6297,791,4498,2478,1008,605,315,88
2010,서울특별시 용산구 (1117000000),계    ,244853,30685,183398,109523,30770,19752,8570,2448
2010,서울특별시 용산구 (1117000000),남    ,119482,15778,90786,55006,12918,8799,3297,822
2010,서울특별시 용산구 (1117000000),여    ,125371,14907,92612,54517,17852,10953,5273,1626
2010,서울특별시 용산구 후암동(1117051000),계    ,20355,2631,15264,8918,2460,1588,635,237
2010,서울특별시 용산구 후암동(1117051000),남    ,10174,1391,7761,4564,1022,725,222,75
2010,서울특별시 용산구 후암동(1117051000),여    ,10181,1240,7503,4354,1438,863,413,162
2010,서울특별시 용산구 용산2가동(1117052000),계    ,13355,1533,10086,5874,1736,1108,468,160
2010,서울특별시 용산구 용산2가동(1117052000),남    ,6497,799,5002,2949,696,484,157,55
2010,서울특별시 용산구 용산2가동(1117052000),여    ,6858,734,5084,2925,1040,624,311,105
2010,서울특별시 용산구 남영동(1117053000),계    ,7947,562,6234,3593,1151,730,301,120
2010,서울특별시 용산구 남영동(1117053000),남    ,4702,302,3787,2231,613,421,140,52
2010,서울특별시 용산구 남영동(1117053000),여    ,3245,260,2447,1362,538,309,161,68
2010,서울특별시 용산구 청파동(1117055500),계    ,24011,2658,18727,11446,2626,1769,662,195
2010,서울특별시 용산구 청파동(1117055500),남    ,11745,1412,9240,5786,1093,791,240,62
