기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2015,서울특별시 중구 황학동(1114067000),여,"6,151",556,"4,650","2,712",945,564,286,95
2015,서울특별시 중구 중림동(1114068000),계,"8,656",861,"6,286","3,436","1,509",875,485,149
2015,서울특별시 중구 중림동(1114068000),남,"4,386",443,"3,253","1,797",690,425,206,59
2015,서울특별시 중구 중림동(1114068000),여,"4,270",418,"3,033","1,639",819,450,279,90
2015,서울특별시 용산구 (1117000000),계,"233,342","25,515","172,475","96,197","35,352","20,456","11,406","3,490"
2015,서울특별시 용산구 (1117000000),남,"113,177","12,940","85,400","47,933","14,837","9,154","4,574","1,109"
2015,서울특별시 용산구 (1117000000),여,"120,165","12,575","87,075","48,264","20,515","11,302","6,832","2,381"
2015,서울특별시 용산구 후암동(1117051000),계,"19,098","2,084","14,197","7,806","2,817","1,667",841,309
2015,서울특별시 용산구 후암동(1117051000),남,"9,423","1,080","7,190","3,984","1,153",747,303,103
2015,서울특별시 용산구 후암동(1117051000),여,"9,675","1,004","7,007","3,822","1,664",920,538,206
2015,서울특별시 용산구 용산2가동(1117052000),계,"11,802","1,059","8,781","4,832","1,962","1,145",614,203
2015,서울특별시 용산구 용산2가동(1117052000),남,"5,687",542,"4,340","2,434",805,528,221,56
2015,서울특별시 용산구 용산2가동(1117052000),여,"6,115",517,"4,441","2,398","1,157",617,393,147
2015,서울특별시 용산구 남영동(1117053000),계,"8,115",411,"6,289","3,189","1,415",871,395,149
2015,서울특별시 용산구 남영동(1117053000),남,"4,944",221,"3,951","1,941",772,510,201,61
2015,서울특별시 용산구 남영동(1117053000),여,"3,171",190,"2,338","1,248",643,361,194,88
2015,서울특별시 용산구 청파동(1117055500),계,"21,493","1,852","16,607","9,212","3,034","1,809",966,259
2015,서울특별시 용산구 청파동(1117055500),남,"10,317",980,"8,086","4,640","1,251",782,394,75
2015,서울특별시 용산구 청파동(1117055500),여,"11,176",872,"8,521","4,572","1,783","1,027",572,184
