기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2014,"서울특별시 용산구 이촌제2동(1117064000)",계    ,9706,1102,7026,3864,1578,949,500,129
2014,"서울특별시 용산구 이촌제2동(1117064000)",남    ,4647,569,3446,1958,632,428,181,23
2014,"서울특별시 용산구 이촌제2동(1117064000)",여    ,5059,533,3580,1906,946,521,319,106
2014,"서울특별시 용산구 이태원제1동(1117065000)",계    ,7827,585,5794,3238,1448,788,511,149
2014,"서울특별시 용산구 이태원제1동(1117065000)",남    ,3672,297,2820,1624,555,314,193,48
2014,"서울특별시 용산구 이태원제1동(1117065000)",여    ,4155,288,2974,1614,893,474,318,101
2014,"서울특별시 용산구 이태원제2동(1117066000)",계    ,10392,1003,7572,4460,1817,1068,597,152
2014,"서울특별시 용산구 이태원제2동(1117066000)",남    ,4783,483,3571,2137,729,461,227,41
2014,"서울특별시 용산구 이태원제2동(1117066000)",여    ,5609,520,4001,2323,1088,607,370,111
2014,"서울특별시 용산구 한남동(1117068500)",계    ,22036,2041,16783,10014,3212,2000,928,284
2014,"서울특별시 용산구 한남동(1117068500)",남    ,10540,1011,8161,4956,1368,908,363,97
2014,"서울특별시 용산구 한남동(1117068500)",여    ,11496,1030,8622,5058,1844,1092,565,187
2014,"서울특별시 용산구 서빙고동(1117069000)",계    ,13699,1841,9929,5267,1929,989,757,183
2014,"서울특별시 용산구 서빙고동(1117069000)",남    ,6602,913,4915,2536,774,395,318,61
2014,"서울특별시 용산구 서빙고동(1117069000)",여    ,7097,928,5014,2731,1155,594,439,122
2014,"서울특별시 용산구 보광동(1117070000)",계    ,16691,1359,12824,7085,2508,1515,796,197
2014,"서울특별시 용산구 보광동(1117070000)",남    ,8146,738,6408,3614,1000,651,293,56
2014,"서울특별시 용산구 보광동(1117070000)",여    ,8545,621,6416,3471,1508,864,503,141
2014,"서울특별시 성동구 (1120000000)",계    ,296086,35256,224266,125584,36564,23232,10658,2674
2014,"서울특별시 성동구 (1120000000)",남    ,147363,17909,113545,63834,15909,10808,4315,786
2014,"서울특별시 성동구 (1120000000)",여    ,148723,17347,110721,61750,20655,12424,6343,1888
2014,"서울특별시 성동구 왕십리제2동(1120052000)",계    ,16452,1922,12488,6825,2042,1308,574,160
